Chrom,Start,End
1,11741246,11741321
1,11751520,11751619
1,11845787,11845887
1,11845888,11845987
1,11845988,11846087
1,11846088,11846187
1,11846188,11846287
1,11846288,11846387
1,11846388,11846487
1,11846488,11846587
1,11846588,11846687
1,11846688,11846787
1,11846788,11846887
1,11846888,11846987
1,11846988,11847087
1,11847088,11847187
1,11847188,11847287
1,11847288,11847387
1,11847388,11847487
1,11847488,11847587
1,11847588,11847687
1,11847688,11847787
1,11847788,11847887
1,11847888,11847987
1,11847988,11848087
1,11848088,11848187
1,11848188,11848287
1,11848288,11848387
1,11848388,11848487
1,11848488,11848587
1,11848588,11848687
1,11848688,11848787
1,11848788,11848887
1,11848888,11848987
1,11848988,11849087
1,11849088,11849187
1,11849188,11849287
1,11849288,11849387
1,11849388,11849487
1,11849488,11849587
1,11849588,11849687
1,11849688,11849787
1,11849788,11849887
1,11849888,11849987
1,11849988,11850087
1,11850088,11850187
1,11850188,11850287
1,11850288,11850387
1,11850388,11850487
1,11850488,11850587
1,11850588,11850659
1,11850660,11850760
1,11850761,11850860
1,11850861,11851016
1,11851190,11851290
1,11851291,11851390
1,11851391,11851455
1,11852260,11852360
1,11852361,11852460
1,11852461,11852523
1,11853880,11853980
1,11853981,11854080
1,11854081,11854228
1,11854340,11854440
1,11854441,11854540
1,11854541,11854690
1,11854710,11854810
1,11854811,11854910
1,11854911,11854984
1,11855070,11855170
1,11855171,11855270
1,11855271,11855370
1,11855371,11855494
1,11856180,11856280
1,11856281,11856380
1,11856381,11856534
1,11860195,11860295
1,11860296,11860395
1,11860396,11860459
1,11861140,11861240
1,11861241,11861340
1,11861341,11861440
1,11861441,11861512
1,11862865,11862965
1,11862966,11863065
1,11863066,11863165
1,11863166,11863243
1,11865870,11865970
1,11865971,11866070
1,11866071,11866170
1,11866171,11866243
1,11905767,11905867
1,11905868,11905964
1,11905965,11906065
1,11906066,11906174
1,11907095,11907195
1,11907196,11907295
1,11907296,11907395
1,11907396,11907495
1,11907496,11907595
1,11907596,11907695
1,11907696,11907819
1,12227199,12227276
1,12248802,12248902
1,12248903,12249002
1,12250963,12251063
1,12251064,12251192
1,12251780,12251880
1,12251881,12252030
1,12252437,12252537
1,12252538,12252631
1,12252869,12252969
1,12252970,12253069
1,12253070,12253205
1,12253961,12254061
1,12254062,12254139
1,12254590,12254725
1,12261973,12262073
1,12262074,12262173
1,12262174,12262278
1,12266746,12266846
1,12266847,12266946
1,12266947,12267046
1,12267047,12267127
1,12267128,12267228
1,12267229,12267328
1,12267329,12267428
1,12267429,12267528
1,12267529,12267628
1,12267629,12267728
1,12267729,12267828
1,12267829,12267928
1,12267929,12268028
1,12268029,12268128
1,12268129,12268228
1,12268229,12268328
1,12268329,12268428
1,12268429,12268528
1,12268529,12268628
1,12268629,12268728
1,12268729,12268828
1,12268829,12268928
1,12268929,12269028
1,12269029,12269128
1,12269129,12269277
1,13908587,13908687
1,13908688,13908779
1,15817845,15817945
1,15817946,15818045
1,15818046,15818145
1,15818146,15818245
1,15818246,15818345
1,15818346,15818445
1,15818446,15818545
1,15818546,15818645
1,15818646,15818745
1,15818746,15818845
1,15818846,15818945
1,15818946,15819045
1,15819046,15819145
1,15819146,15819245
1,15819246,15819345
1,15819346,15819445
1,15819446,15819580
1,15820336,15820436
1,15820437,15820546
1,15821717,15821817
1,15821818,15821917
1,15821918,15821997
1,15831055,15831155
1,15831156,15831303
1,15832434,15832534
1,15832535,15832624
1,15833343,15833443
1,15833444,15833543
1,15833544,15833678
1,15834317,15834452
1,15844554,15844654
1,15844655,15844754
1,15844755,15844854
1,15844855,15844940
1,15850513,15850613
1,15850614,15850713
1,15850814,15850913
1,15851027,15851127
1,15851128,15851227
1,15851228,15851335
1,16451625,16451725
1,16451726,16451825
1,16451826,16451899
1,16455835,16455935
1,16455936,16456035
1,16458622,16458722
1,16458723,16458822
1,18509918,18510018
1,18510019,18510134
1,21835884,21835983
1,21835984,21836081
1,21880498,21880598
1,21880599,21880698
1,21887038,21887138
1,21887139,21887238
1,21887239,21887318
1,21887518,21887618
1,21887619,21887718
1,21887719,21887797
1,21889528,21889628
1,21889629,21889728
1,21889729,21889864
1,21890453,21890553
1,21890554,21890653
1,21890654,21890792
1,21894523,21894623
1,21894624,21894723
1,21894724,21894831
1,21896723,21896823
1,21896824,21896950
1,21900083,21900183
1,21900184,21900283
1,21902153,21902253
1,21902254,21902353
1,21902354,21902481
1,21902943,21903043
1,21903044,21903143
1,21903144,21903207
1,21903798,21903898
1,21903899,21903998
1,21903999,21904098
1,21904099,21904215
1,21904216,21904316
1,21904317,21904416
1,21904417,21904516
1,21904517,21904616
1,21904617,21904716
1,21904717,21904816
1,21904817,21904905
1,22379069,22379169
1,22379170,22379285
1,22400536,22400636
1,22400637,22400762
1,22404921,22405021
1,22405022,22405126
1,22408164,22408264
1,22408265,22408337
1,22412881,22412981
1,22412982,22413091
1,22413111,22413211
1,22413212,22413311
1,22413312,22413409
1,22416385,22416485
1,22416486,22416575
1,22416576,22416676
1,22416677,22416776
1,22416777,22416876
1,22416877,22416976
1,22416977,22417076
1,22417077,22417176
1,22417177,22417296
1,22417870,22417970
1,22417971,22418060
1,22418061,22418161
1,22418162,22418261
1,22418262,22418361
1,22418362,22418461
1,22418462,22418561
1,22418562,22418661
1,22418662,22418761
1,22418762,22418861
1,22418862,22418961
1,22418962,22419061
1,22419062,22419161
1,22419162,22419261
1,22419262,22419361
1,22419362,22419436
1,22443798,22443898
1,22443899,22443998
1,22443999,22444098
1,22444099,22444198
1,22444199,22444298
1,22444299,22444398
1,22444399,22444498
1,22444499,22444598
1,22444599,22444698
1,22444699,22444798
1,22444799,22444898
1,22444899,22444998
1,22444999,22445098
1,22445099,22445198
1,22445199,22445298
1,22445299,22445398
1,22445399,22445498
1,22445499,22445598
1,22445599,22445698
1,22445699,22445798
1,22445799,22445898
1,22445899,22445998
1,22445999,22446098
1,22446099,22446198
1,22446199,22446298
1,22446299,22446398
1,22446399,22446467
1,22446468,22446568
1,22446569,22446668
1,22446669,22446768
1,22446769,22446868
1,22446869,22446968
1,22446969,22447087
1,22447628,22447728
1,22447729,22447828
1,22447829,22447928
1,22447929,22448028
1,22448029,22448128
1,22456028,22456128
1,22456129,22456228
1,22456229,22456328
1,22456329,22456411
1,22469359,22469458
1,26377796,26377896
1,26377897,26377996
1,26377997,26378096
1,26378097,26378255
1,26378256,26378356
1,26378357,26378464
1,26380311,26380411
1,26380412,26380537
1,26383621,26383721
1,26383722,26383821
1,26383822,26383890
1,26384026,26384126
1,26384127,26384219
1,26384796,26384896
1,26384897,26384996
1,26384997,26385096
1,26385097,26385184
1,26386681,26386781
1,26386782,26386924
1,26387581,26387681
1,26387682,26387781
1,26387782,26387887
1,26392686,26392786
1,26392787,26392886
1,26392887,26393019
1,26393746,26393846
1,26393847,26393946
1,26393947,26394064
1,26517036,26517136
1,26517137,26517236
1,26517237,26517336
1,26517337,26517421
1,26517706,26517806
1,26517807,26517906
1,26517907,26518002
1,26520206,26520306
1,26520307,26520463
1,26524101,26524201
1,26524202,26524333
1,26524376,26524476
1,26524477,26524576
1,26524577,26524643
1,26524701,26524801
1,26524802,26524901
1,26524902,26524977
1,26526291,26526391
1,26526392,26526491
1,26526492,26526633
1,26527246,26527346
1,26527347,26527446
1,26527447,26527546
1,26527547,26527624
1,26527771,26527871
1,26527872,26527971
1,26527972,26528073
1,26528901,26529001
1,26529002,26529099
1,26856361,26856461
1,26863365,26863510
1,26872341,26872441
1,26872442,26872576
1,26873307,26873407
1,26873408,26873524
1,26873629,26873729
1,26873730,26873811
1,26877837,26877937
1,26877938,26878018
1,26878084,26878184
1,26878185,26878264
1,26879831,26879931
1,26879932,26880038
1,26880654,26880792
1,26881036,26881136
1,26881137,26881279
1,26881591,26881691
1,26881692,26881762
1,26881977,26882077
1,26882078,26882166
1,26883094,26883194
1,26883195,26883259
1,26883438,26883538
1,26883539,26883641
1,26885247,26885347
1,26885348,26885478
1,26887166,26887266
1,26887267,26887392
1,26887485,26887585
1,26887586,26887675
1,26887945,26888045
1,26888046,26888204
1,26897889,26897989
1,26897990,26898089
1,26898090,26898151
1,26898289,26898389
1,26898390,26898466
1,26898616,26898716
1,26898717,26898834
1,26899664,26899764
1,26899765,26899902
1,26900519,26900619
1,26900620,26900742
1,26900743,26900843
1,26900844,26900943
1,26900944,26901043
1,26901044,26901143
1,26901144,26901243
1,26901244,26901343
1,26901344,26901443
1,26901444,26901520
1,27189653,27189753
1,27189754,27189853
1,27189854,27189953
1,27189954,27190053
1,27190054,27190153
1,27190154,27190253
1,27190254,27190353
1,27190354,27190500
1,27190501,27190601
1,27190602,27190701
1,27190702,27190801
1,27190802,27190947
1,27718951,27719051
1,27719052,27719151
1,27719152,27719251
1,27719252,27719351
1,27719352,27719431
1,27720221,27720321
1,27720322,27720421
1,27720422,27720521
1,27720522,27720621
1,27720622,27720721
1,27720722,27720821
1,27720822,27720921
1,27720922,27721021
1,27721022,27721121
1,27721122,27721221
1,27721222,27721321
1,27721322,27721384
1,27721385,27721485
1,27721486,27721585
1,27721586,27721685
1,27721686,27721785
1,27721786,27721885
1,27721886,27721985
1,27721986,27722085
1,27722086,27722185
1,27722186,27722317
1,28218036,28218136
1,28218137,28218236
1,28218237,28218336
1,28218337,28218436
1,28218437,28218536
1,28218537,28218622
1,28218623,28218723
1,28218724,28218808
1,28220472,28220572
1,28220573,28220667
1,28220750,28220850
1,28220851,28220958
1,28223465,28223565
1,28223566,28223682
1,28224093,28224193
1,28224194,28224268
1,28233388,28233488
1,28233489,28233602
1,28233641,28233741
1,28233742,28233843
1,28240372,28240472
1,28240473,28240572
1,28240573,28240730
1,28240894,28240994
1,28240995,28241094
1,28241095,28241194
1,28241195,28241294
1,28241295,28241358
1,28296855,28296955
1,28296956,28297055
1,28297056,28297155
1,28297156,28297255
1,28297256,28297355
1,28297356,28297455
1,28297456,28297555
1,28297556,28297655
1,28297656,28297755
1,28297756,28297855
1,28297856,28297955
1,28297956,28298055
1,28298056,28298155
1,28298156,28298255
1,28298256,28298355
1,28298356,28298455
1,28298456,28298555
1,28298556,28298655
1,28298656,28298755
1,28298756,28298855
1,28298856,28298955
1,28298956,28299055
1,28299056,28299155
1,28299156,28299255
1,28299256,28299355
1,28299356,28299455
1,28299456,28299555
1,28299556,28299655
1,28299656,28299755
1,28299756,28299855
1,28299856,28299955
1,28299956,28300055
1,28300056,28300155
1,28300156,28300255
1,28300256,28300355
1,28300356,28300455
1,28300456,28300555
1,28300556,28300655
1,28300656,28300755
1,28300756,28300855
1,28300856,28300925
1,28300926,28301026
1,28301027,28301107
1,28303742,28303842
1,28303843,28303950
1,28304834,28304934
1,28304935,28305035
1,28314933,28315033
1,28315034,28315133
1,28315134,28315217
1,28316157,28316257
1,28316258,28316372
1,28319860,28319960
1,28319961,28320060
1,28323780,28323939
1,28324744,28324844
1,28324845,28324912
1,28326420,28326520
1,28326521,28326610
1,28330796,28330896
1,28330897,28330980
1,28337407,28337507
1,28337508,28337647
1,28339571,28339671
1,28339672,28339771
1,28339772,28339855
1,28343614,28343714
1,28343715,28343800
1,28354249,28354349
1,28354350,28354487
1,28362004,28362104
1,28362105,28362241
1,28365299,28365399
1,28365400,28365466
1,28369031,28369131
1,28369132,28369211
1,28374843,28374987
1,28384454,28384554
1,28384555,28384655
1,28414984,28415084
1,28415085,28415198
1,32827862,32827962
1,32827963,32828062
1,32828063,32828221
1,32828222,32828322
1,32828323,32828422
1,32828423,32828500
1,32829122,32829222
1,32829223,32829322
1,32829323,32829422
1,32829423,32829522
1,32829523,32829622
1,32829623,32829722
1,32829723,32829822
1,32829823,32829944
1,34671247,34671347
1,34671348,34671445
1,36065143,36065243
1,36065244,36065343
1,36065344,36065443
1,36065444,36065543
1,36065544,36065643
1,36065644,36065743
1,36065744,36065843
1,36065844,36065943
1,36065944,36066043
1,36066044,36066143
1,36066144,36066243
1,36066244,36066343
1,36066344,36066443
1,36066444,36066543
1,36066544,36066643
1,36066644,36066743
1,36066744,36066843
1,36066844,36066943
1,36066944,36067043
1,36067044,36067143
1,36067144,36067243
1,36067244,36067343
1,36067344,36067443
1,36067444,36067543
1,36067544,36067643
1,36067644,36067743
1,36067744,36067843
1,36067844,36067943
1,36067944,36068043
1,36068044,36068143
1,36068144,36068243
1,36068244,36068343
1,36068344,36068443
1,36068444,36068543
1,36068544,36068643
1,36068644,36068743
1,36068744,36068816
1,36068817,36068917
1,36068918,36069025
1,36070783,36070933
1,36074796,36074896
1,36074897,36074996
1,36074997,36075059
1,36096824,36096924
1,36096925,36097024
1,36097025,36097124
1,36097125,36097188
1,36101860,36101960
1,36101961,36102083
1,36106892,36106992
1,36106993,36107083
1,36107084,36107184
1,36107185,36107284
1,36107285,36107384
1,36197713,36197813
1,36197814,36197913
1,36197914,36198013
1,36198014,36198113
1,36198114,36198213
1,36198214,36198313
1,36198314,36198413
1,36198414,36198513
1,36198514,36198613
1,36198614,36198713
1,36198714,36198813
1,36198814,36198913
1,36198914,36199013
1,36199014,36199113
1,36199114,36199213
1,36199214,36199313
1,36199314,36199413
1,36199414,36199513
1,36199514,36199613
1,36199614,36199713
1,36199714,36199813
1,36199814,36199913
1,36199914,36200013
1,36200014,36200113
1,36200114,36200213
1,36200214,36200313
1,36200314,36200413
1,36200414,36200513
1,36200514,36200613
1,36200614,36200713
1,36200714,36200813
1,36200814,36200913
1,36200914,36201013
1,36201014,36201113
1,36201114,36201213
1,36201214,36201313
1,36201314,36201413
1,36201414,36201513
1,36201514,36201613
1,36201614,36201713
1,36201714,36201813
1,36201814,36201913
1,36201914,36202045
1,36202046,36202146
1,36202147,36202257
1,36202464,36202564
1,36202565,36202664
1,36202665,36202726
1,36202889,36202989
1,36202990,36203072
1,36203542,36203642
1,36203643,36203748
1,36204005,36204105
1,36204106,36204233
1,36204686,36204786
1,36204787,36204908
1,36204915,36205015
1,36205016,36205115
1,36205116,36205180
1,36208691,36208791
1,36208792,36208892
1,36209005,36209105
1,36209106,36209181
1,36211001,36211101
1,36211102,36211213
1,36212316,36212416
1,36212417,36212516
1,36212517,36212643
1,36213457,36213557
1,36213558,36213712
1,36213955,36214055
1,36214056,36214155
1,36214156,36214255
1,36215017,36215117
1,36215118,36215182
1,36215183,36215283
1,36215284,36215383
1,36215384,36215462
1,36216800,36216900
1,36216901,36217000
1,36217001,36217157
1,36219295,36219395
1,36219396,36219495
1,36219496,36219587
1,36225892,36225992
1,36225993,36226092
1,36226093,36226192
1,36226193,36226292
1,36226293,36226392
1,36226393,36226492
1,36226493,36226567
1,36226646,36226746
1,36226747,36226855
1,36227548,36227648
1,36227649,36227721
1,36227954,36228054
1,36228055,36228132
1,36228710,36228810
1,36228811,36228910
1,36228911,36228972
1,36229816,36229916
1,36229917,36230016
1,36230017,36230116
1,36230117,36230216
1,36230217,36230365
1,36230768,36230868
1,36230869,36230977
1,36235397,36235521
1,40538382,40538482
1,40538483,40538582
1,40538583,40538682
1,40538683,40538782
1,40538783,40538882
1,40538883,40538982
1,40538983,40539082
1,40539083,40539182
1,40539183,40539282
1,40539283,40539382
1,40539383,40539482
1,40539483,40539582
1,40539583,40539658
1,40539659,40539759
1,40539760,40539859
1,40542439,40542539
1,40542540,40542673
1,40544154,40544254
1,40544255,40544397
1,40545994,40546094
1,40546095,40546209
1,40555004,40555104
1,40555105,40555204
1,40555205,40555277
1,40556929,40557029
1,40557030,40557162
1,40557644,40557744
1,40557745,40557844
1,40557845,40557908
1,40557989,40558089
1,40558090,40558189
1,40558190,40558260
1,40562704,40562804
1,40562805,40562904
1,40562905,40562992
1,40562993,40563142
1,41844213,41844313
1,41844314,41844396
1,41944395,41944495
1,41944496,41944595
1,41944596,41944695
1,41944696,41944795
1,41944796,41944895
1,41944896,41944995
1,41944996,41945095
1,41945096,41945223
1,41946715,41946815
1,41946816,41946914
1,41948086,41948186
1,41948187,41948309
1,41949667,41949767
1,41949768,41949924
1,41950158,41950258
1,41950259,41950404
1,42441174,42441274
1,42441275,42441391
1,43803439,43803539
1,43803540,43803677
1,43803684,43803784
1,43803785,43803884
1,43803885,43803972
1,43804129,43804229
1,43804230,43804329
1,43804330,43804474
1,43804864,43804964
1,43804965,43805064
1,43805065,43805164
1,43805165,43805318
1,43805549,43805649
1,43805650,43805749
1,43805750,43805866
1,43805979,43806079
1,43806080,43806179
1,43806180,43806259
1,43812044,43812144
1,43812145,43812244
1,43812245,43812344
1,43812345,43812444
1,43812445,43812544
1,43812545,43812694
1,43814429,43814529
1,43814530,43814629
1,43814630,43814732
1,43814859,43814959
1,43814960,43815102
1,43817836,43817936
1,43817937,43818059
1,43818114,43818214
1,43818215,43818314
1,43818315,43818414
1,43818415,43818534
1,43818535,43818635
1,43818636,43818735
1,43818736,43818835
1,43818836,43818935
1,43818936,43819035
1,43819036,43819135
1,43819136,43819235
1,43819236,43819335
1,43819336,43819435
1,43819436,43819535
1,43819536,43819635
1,43819636,43819735
1,43819736,43819835
1,43819836,43819935
1,43819936,43820035
1,43820036,43820135
1,43824575,43824727
1,43824836,43824936
1,43824937,43825036
1,43825037,43825136
1,43825137,43825236
1,43825237,43825336
1,43825337,43825436
1,43825437,43825542
1,43825589,43825689
1,43825690,43825789
1,43825790,43825889
1,43825890,43825989
1,43825990,43826110
1,43826119,43826219
1,43826220,43826314
1,43826353,43826453
1,43826454,43826553
1,43826554,43826682
1,43826740,43826840
1,43826841,43826966
1,43827815,43827915
1,43827916,43828033
1,43828571,43828671
1,43828672,43828771
1,43828772,43828850
1,44115746,44115846
1,44115847,44115973
1,44118796,44118896
1,44118897,44119034
1,44121211,44121311
1,44121312,44121411
1,44121412,44121487
1,44125918,44126018
1,44126019,44126133
1,44128514,44128614
1,44128615,44128714
1,44128715,44128808
1,44131316,44131466
1,44132072,44132172
1,44132173,44132276
1,44132574,44132674
1,44132675,44132812
1,44133392,44133492
1,44133493,44133592
1,44133593,44133740
1,44134720,44134820
1,44134821,44134920
1,44134921,44135020
1,44137125,44137225
1,44137226,44137325
1,44137326,44137425
1,44137426,44137525
1,44137526,44137596
1,44149304,44149404
1,44149405,44149525
1,44154534,44154634
1,44154635,44154734
1,44154735,44154816
1,44156465,44156565
1,44156566,44156665
1,44156666,44156770
1,44157116,44157216
1,44157217,44157293
1,44157876,44158032
1,44159614,44159714
1,44159715,44159823
1,44160329,44160429
1,44160430,44160529
1,44160530,44160615
1,44163463,44163563
1,44163564,44163663
1,44163664,44163734
1,44169237,44169337
1,44169338,44169457
1,44169640,44169740
1,44169741,44169833
1,44169850,44169950
1,44169951,44170091
1,44170092,44170192
1,44170193,44170292
1,44170293,44170392
1,44170393,44170492
1,44170493,44170592
1,44170593,44170692
1,44170693,44170792
1,44170793,44170892
1,44170893,44170992
1,44170993,44171092
1,44171093,44171189
